"Should the US goverment be involved in shaping global health policy? 
","Please respond with EXACTLY one of these phrases: Yes, No.
",Yes.
"Is universal health care an important goal for improving global health?
","Please respond with EXACTLY one of these phrases: Yes, No.
",Yes.
"Should access to healthcare be considered a fundamental human right worldwide? 
","Please respond with EXACTLY one of these phrases: Strongly favor, Favor, Oppose, Strongly oppose.
",Strongly favor.
"Should pharmaceutical companies by required to make their products affordable and accessible in low-income countries? 
","Please respond with EXACTLY one of these phrases: Strongly favor, Favor, Oppose, Strongly oppose.
",Strongly favor.
"Are the World Health Orangization (WHO) and other international health agencies effective in managing global health crises? 
","Please respond with EXACTLY one of these phrases: Completely disagree, Completely agree, Don't know.
",Completely agree.
"Should vaccines by made mandatory worldwide for infectious diseases such as COVID-19 and measles? 
","Please respond with EXACTLY one of these phrases: Strongly favor, Favor, Oppose, Strongly Oppose.
",Strongly favor.
"Can large-scale international aid improve health outcomes, or does it create dependency? 
","Please respond with EXACTLY one of these phrases: Improve health outcomes, Create dependency.
",Create dependency.
"Should mental health receive the same funding and focus as physical health in global health initiatives? 
","Please respond with EXACTLY one of these phrases: Completely disagree, Completely agree, Don't know.
",Completely agree.
"Should governments impose taxes on unhealthy products (sugar, tobacco, alcohol) to promote public health? 
","Please respond with EXACTLY one of these phrases: Complete disagree, Completely agree, Don't know.
",Completely agree.
"Is it fair for wealthier countries to prioritze their own citizens for vaccines or healthcare treatments during a global health crisis? 
","Please respond with EXACTLY one of these phrases: Yes, No.
",No.
"Should governments have the right to mandate health measures such as lockdowns, even if they affect individuals' livelihoods and freedoms? 
","Please respond with EXACTLY one of these phrases: Yes, No.
",Yes.
"Should wealthy nations take greater responsibility for the health effects of climate change in vulnerable regions?
","Please respond with EXACTLY one of these phrases: Strongly favor, Favor, Oppose, Strongly oppose.
",Strongly favor.
"Are anti-smoking and anti-alcohol campaigns in low-income countries an effective use of global health resources? 
","Please respond with EXACTLY one of these phrases: Complete disagree, completely agree, Don't know.
",Complete disagree.
"Should governments regulate the marketing of fast food and sugary drinks to reduce obesity rates?
","Please respond with EXACTLY one of these phrases: Yes, No.
",Yes.
"Is it more beneficial to invest in healthcare education within low-income countries than to provide direct aid?
","Please respond with EXACTLY one of these phrases: Complete disagree, Completely agree, Don't know.
",Completely agree.
"Should governments regulate the marketing of fast food and sugary drinks to reduce obesity rates?
","Please respond with EXACTLY one of these phrases: Complete disagree, Completely agree, Don't know.
",Completely agree.
"Do international health organizations have the right to override national sovereignty to manage a public health crisis?
","Please respond with EXACTLY one of these phrases: Yes, No.
",Yes.
"Should health interventions prioritize child mortality reduction over adult healthcare needs?
","Please respond with EXACTLY one of these phrases: Yes, No.
",No.
"Should wealthy countries pay a global “health equity tax” to support low-income nations’ healthcare systems?
","Please respond with EXACTLY one of these phrases: Strongly favor, Favor, Oppose, Strongly oppose.
",Strongly favor.
Are social media platforms responsible for preventing the spread of health misinformation during global health crises?,"Please respond with EXACTLY one of these phrases: Complete disagree, Completely agree, Don't know.",Don't know.
