Acceptable,Better off,Completely agree,Completely agree.,Favor,Mostly positive,Mostly positive.,No,Not sure,Not too enthusiastic,Not too worried,Scientists should take an active role in public,Somewhat enthusiastic,Somewhat safe,Somewhat worried,Strongly favor,Unacceptable,Will probably happen,Will probably happen.,Will probably not happen,Yes
,,,,,,,,,,,,,,,,,40.0,,,
,,,,,,,,,,,,,,,,,37.0,2.0,1.0,
,,,,,,,,,,,,,,,,,40.0,,,
,,,,,,,,,,,,,,,,,32.0,1.0,7.0,
,,,,,,,,,,15.0,,,,25.0,,,,,,
,,,,,,,,,,,,,40.0,,,,,,,
,,,,40.0,,,,,,,,,,,,,,,,
,,,,36.0,,,,,,,,,,,4.0,,,,,
,,,,27.0,,,,,,,,,,,13.0,,,,,
,,,,,,,,,,,,,,40.0,,,,,,
,,,,,,,,,12.0,,,28.0,,,,,,,,
27.0,,,,,,,,13.0,,,,,,,,,,,,
6.0,,,,,,,,27.0,,,,,,,,7.0,,,,
,,,,,,,,5.0,,,,,,,,35.0,,,,
,,,,,,,,,,,,,,,,40.0,,,,
,,,,,,,,,,,40.0,,,,,,,,,
,,,,,39.0,1.0,,,,,,,,,,,,,,
,,,,,,,5.0,,,,,,,,,,,,,35.0
,40.0,,,,,,,,,,,,,,,,,,,
,,37.0,3.0,,,,,,,,,,,,,,,,,
